tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2428891,1600482638529,1600485081443,1600525162052.0,1600527240129.0,lower_left,middle_left
2426250,1600482639831,1600486596198,1600525132034.0,1600528384782.0,middle_right,upper_right
2428364,1600482640104,1600488167781,1600525045585.0,1600527090822.0,middle_left,lower_left
2428503,1600482642042,1600487884669,1600525070400.0,1600527230341.0,lower_left,middle_left
2427580,1600482644604,1600485047140,1600524991082.0,1600526890707.0,middle_left,upper_right
2432652,1600482645077,1600485072545,1600524984040.0,1600526931332.0,lower_right,lower_right
2427725,1600482648663,1600487875953,1600525505508.0,1600527478409.0,middle_right,middle_left
2432660,1600482651234,1600487834669,1600525274126.0,1600528344508.0,lower_left,upper_right
2431975,1600482652427,1600487875072,1600526409222.0,1600529715273.0,middle_left,middle_right
2428763,1600482652521,1600487951317,1600525012892.0,1600526924998.0,middle_left,middle_left
2420476,1600482654421,1600490228113,,,middle_left,
2421797,1600482654713,1600485597822,1600525037092.0,1600526919245.0,middle_right,upper_right
2421834,1600482655621,1600487181854,1600525061611.0,1600527115098.0,lower_right,middle_right
2421861,1600482657184,1600487888696,1600525073558.0,1600527442873.0,lower_right,middle_left
2427564,1600482659878,1600485620954,1600525035272.0,1600527452059.0,upper_left,lower_right
2428706,1600482660422,1600485642732,1600525101603.0,1600527836703.0,middle_right,upper_left
2426240,1600482663702,1600487166330,1600525189327.0,1600527470621.0,middle_right,middle_left
2417161,1600482666173,1600490231900,1600526767719.0,1600530744517.0,middle_left,upper_left
2428724,1600482669765,1600487835611,1600525203265.0,1600530627320.0,upper_right,upper_right
2428385,1600482671906,1600487847366,1600525155810.0,1600527287654.0,middle_right,middle_right
2426393,1600482674976,1600487879138,1600525096058.0,1600527295330.0,upper_right,upper_right
2427594,1600482677907,1600485725399,1600525241237.0,1600528039462.0,middle_right,lower_right
2431953,1600482678055,1600485612703,1600525150389.0,1600527233599.0,middle_right,middle_right
2426245,1600482690452,1600487877812,1600525178798.0,1600528920391.0,lower_right,upper_right
2428885,1600482694777,1600485351646,1600524974429.0,1600527468407.0,lower_right,middle_right
2428788,1600482694817,1600485626613,1600525020245.0,1600526928391.0,middle_right,middle_right
2432013,1600482703483,1600488537583,1600525064492.0,1600527473572.0,middle_left,middle_right
2432144,1600482708220,1600487903113,1600525190538.0,1600527982411.0,lower_right,middle_right
2426253,1600482710337,1600486517498,1600525010163.0,1600526959865.0,middle_left,middle_right
2426267,1600482716309,1600490482019,1600525024817.0,1600528907760.0,middle_left,middle_left
2428782,1600482759624,1600490322226,1600525034770.0,1600527222911.0,middle_left,lower_left
2433164,1600482776179,1600486551376,1600525160839.0,1600528340335.0,middle_right,upper_right
2428758,1600482780681,1600488512303,1600526427100.0,1600528348549.0,middle_left,middle_left
2433150,1600482784156,1600485079462,1600525006604.0,1600526949438.0,middle_right,middle_right
2428889,1600482790271,1600485166603,1600525278234.0,1600528600290.0,middle_right,middle_right
2426271,1600482794944,1600488954712,1600525169365.0,1600530748175.0,middle_right,middle_right
2421815,1600482795855,1600485086942,1600525016181.0,1600527079598.0,upper_right,upper_right
2427737,1600482797677,1600489083631,1600525249772.0,1600530860429.0,upper_right,upper_right
2428879,1600482801341,1600487192956,1600525207393.0,1600528012694.0,middle_right,middle_right
2432656,1600482810917,1600487911763,1600525267926.0,1600528160846.0,upper_right,upper_right
2426248,1600482812861,1600487166089,1600525020633.0,1600526942992.0,middle_right,lower_right
2428289,1600482816708,1600490252226,1600525212990.0,1600530741239.0,middle_left,middle_right
2428062,1600482821583,1600488516597,1600525534382.0,1600528352145.0,middle_left,middle_right
