tag_id,EntryMorning,EntryOrderMorning,ExitMorning,ExitOrderMorning,EntryEvening,EntryOrderEvening,ExitEvening,ExitOrderEvening,PositionMorning,PositionEvening
2428788,1600828549225,1,1600832027177,14,1600870575102,2,1600872848228,21,middle_left,lower_right
2426240,1600828553012,2,1600832007961,12,1600870677842,26,1600874753505,55,middle_right,lower_left
2432652,1600828553760,3,1600831953691,4,1600870616273,17,1600872161904,10,,
2427580,1600828554170,4,1600831886950,2,1600870598299,10,1600871935317,2,upper_right,middle_left
2428891,1600828557039,5,1600831869631,1,1600870744484,40,1600873138141,29,lower_left,middle_right
2432660,1600828563742,6,1600832040464,18,1600870986846,59,1600875248831,63,middle_right,upper_right
2426253,1600828566993,7,1600831997373,9,1600870581456,5,1600874726170,50,middle_left,middle_right
2431975,1600828569052,8,1600832040129,17,1600870575854,3,1600871945037,4,middle_right,middle_right
2423372,1600828570344,9,1600832031161,15,1600870713236,32,1600873121947,27,lower_left,upper_right
2428724,1600828574510,10,1600832000283,11,1600870836341,49,1600874736218,52,upper_right,upper_left
2428763,1600828575054,11,1600832016395,13,1600870600404,11,1600871939609,3,upper_right,lower_left
2433150,1600828577093,12,1600831942858,3,1600870594718,9,1600871990468,8,middle_right,middle_right
2433164,1600828582201,13,1600835659767,67,1600871006383,63,1600874433255,44,middle_left,upper_right
2427540,1600828584299,14,1600838151155,87,1600870721341,35,1600876734410,97,,middle_right
2428377,1600828588734,15,1600832068538,23,1600870756390,42,1600873849218,38,upper_right,upper_left
2428865,1600828591696,16,1600832049346,19,1600870624906,19,1600871909023,1,middle_left,middle_right
2428385,1600828598519,17,1600838159489,91,1600871740733,103,1600876745355,100,middle_left,middle_left
2427564,1600828600054,18,1600834688502,56,1600870678278,27,1600872729020,19,middle_left,middle_right
2428292,1600828600657,19,1600833818680,35,1600870610669,15,1600872452333,13,middle_left,lower_left
2428364,1600828628559,20,1600834712009,58,1600870632393,22,1600872670445,18,middle_left,
2426245,1600828631221,21,1600833241984,25,1600870728951,37,1600876725149,94,lower_left,upper_left
2423349,1600828636275,22,1600833245740,26,1600870572566,1,1600872181830,12,lower_left,upper_left
2432144,1600828637700,23,1600833254369,28,1600870581687,6,1600871983837,7,lower_left,lower_left
2428692,1600828638664,24,1600833253130,27,1600870767235,43,1600875276830,65,lower_right,middle_right
2427958,1600828645392,25,1600831991767,8,1600870662973,23,1600873114265,25,upper_left,upper_right
2428062,1600828672212,26,1600834648161,53,1600870996480,61,1600874709097,48,upper_right,middle_left
2428072,1600828673460,27,1600832037111,16,1600870792946,46,1600873841033,37,upper_right,upper_left
2432127,1600828697989,28,1600835631797,66,1600871016537,66,1600875837922,79,middle_left,upper_right
2421834,1600828709646,29,1600838172482,94,1600871323614,83,1600875332960,69,upper_left,upper_right
2428706,1600828734990,30,1600833854042,38,1600870679128,28,1600873876444,40,upper_left,middle_left
2428091,1600828745997,31,1600835764207,71,1600870998325,62,1600875283801,66,middle_left,upper_right
2428885,1600828748014,32,1600834818893,59,1600870620092,18,1600873076119,22,middle_right,lower_left
2421828,1600828749475,33,1600838152163,88,1600870715707,33,1600876675990,86,upper_left,middle_right
2427737,1600828759081,34,1600838187158,98,1600871520444,89,1600876737905,98,middle_right,middle_left
2421815,1600828821644,35,1600831990356,7,1600870706635,31,1600873109241,24,upper_right,middle_right
2427576,1600828859937,36,1600833238902,24,1600870945816,56,1600874815324,60,middle_right,middle_right
2421797,1600828893930,37,1600833896906,40,1600870722727,36,1600873818138,35,middle_left,middle_right
2428278,1600828901891,38,1600831969566,6,1600870667909,24,1600872624191,17,upper_left,upper_right
2420476,1600828910602,39,1600838179350,96,1600870600442,12,1600873104362,23,middle_left,upper_right
2428879,1600828911302,40,1600832054870,21,1600871092461,70,1600874023819,43,middle_left,upper_right
2427555,1600828919187,41,1600831959813,5,1600870586901,8,1600872179687,11,middle_left,lower_right
2427725,1600828920602,42,1600831999364,10,1600870583650,7,1600871945934,5,upper_left,upper_right
2428309,1600828931778,43,1600832054350,20,1600870672439,25,1600872571874,15,upper_right,upper_left
2426248,1600828941308,44,1600833948034,43,1600871047241,67,1600873305983,34,middle_right,upper_right
2427594,1600828953413,45,1600833978416,44,1600870630233,21,1600872757252,20,middle_right,lower_right
2428782,1600828970493,46,1600838219886,103,1600870958113,57,1600876833791,106,middle_left,middle_left
2421774,1600829019864,47,1600836445405,77,1600871313168,82,1600876728180,95,upper_right,upper_left
2428742,1600829027147,48,1600838253106,105,1600870627205,20,1600872594154,16,upper_left,middle_left
2427559,1600829033032,49,1600834177689,48,1600871427790,87,1600875831601,78,upper_right,upper_right
2432656,1600829033263,50,1600833277619,34,1600870918892,54,1600876709884,92,middle_left,middle_left
2426271,1600829041920,51,1600836432798,74,1600870606851,14,1600875786229,74,upper_left,middle_right
2417161,1600829053868,52,1600833891805,39,1600871086141,69,1600875323858,68,upper_left,upper_right
2428893,1600829074000,53,1600836486522,83,1600871617711,95,1600876872961,109,middle_left,upper_left
2428289,1600829103840,54,1600838217922,102,1600871229694,77,1600876723288,93,middle_right,middle_right
