TagId,EntryMorning,EntryOrderMorning,ExitMorning,ExitOrderMorning,EntryEvening,EntryOrderEvening,ExitEvening,ExitOrderEvening,PositionMorning,PositionEvening
2427905,1600837544838,7,1600839112065,6,1600876976239,2,1600879351912,11,upper_left,middle_middle
2428931,1600837747146,34,1600839896558,28,1600877269631,38,1600879911428,22,lower,upper_right
2421765,1600837550160,9,1600843191172,86,1600877262654,36,1600880989239,45,middle_right,middle_middle
2405385,1600837495733,5,1600838733452,2,1600876980361,3,1600879418795,15,lower,middle_middle
2421773,1600837690204,29,1600839931945,31,1600877504404,78,1600880213750,34,middle_right,upper_right
2417169,1600838054875,83,1600842275740,67,1600877446380,72,1600880160307,31,middle_middle,upper_left
2417171,1600837626841,21,1600842891787,78,1600876963542,1,1600878659265,2,middle_right,middle_right
2432023,1600837829872,49,1600839904364,29,1600877188719,21,1600879267624,5,middle_middle,middle_middle
2417175,1600837742378,33,1600839992790,33,1600877407910,55,1600881419771,53,upper_left,middle_middle
2421792,1600838056675,84,1600841076459,46,1600877431608,65,1600881399536,50,middle_middle,middle_right
2417195,1600837575072,14,1600838832457,3,1600877068991,11,1600878592928,1,lower,middle_right
2423344,1600837493018,4,1600838721471,1,1600877266324,37,1600879428511,16,lower,upper_right
2432048,1600837581844,15,1600839249151,12,1600877302042,44,1600879356724,12,middle_right,upper_left
2427445,1600837871913,56,1600840690847,35,1600877394676,53,1600880835184,40,upper_left,upper_right
2427447,1600837571732,13,1600839405844,20,1600877339495,49,1600881853144,58,middle_right,upper_left
2423356,1600837990564,71,1600843177664,82,1600877421005,60,1600881457335,55,middle_right,upper_left
2432061,1600837821898,47,1600842787086,70,1600877333315,48,1600883183262,81,upper_right,upper_left
2417214,1600837805661,45,1600841029896,45,1600877048906,7,1600881215814,46,middle_middle,middle_middle
2427458,1600837891378,60,1600839921781,30,1600877426304,64,1600880119652,29,middle_middle,middle_middle
2423364,1600837938124,63,1600843186083,84,1600877424336,63,1600883151434,76,upper_right,middle_middle
2423369,1600831186631,2,1600842879134,76,1600877526734,82,1600881448848,54,middle_right,lower
2427465,1600838018670,72,1600841474319,55,1600877249362,31,1600880170395,32,middle_middle,upper_left
2423375,1600837906870,62,1600841761006,57,1600877442172,70,1600880385071,35,upper_right,middle_right
2423378,1600837545237,8,1600839474551,21,1600877111723,17,1600881881455,59,upper_left,middle_middle
2433107,1600837840428,51,1600843190840,85,1600877250672,32,1600883269751,88,middle_right,middle_right
2423380,1600838059414,85,1600841326419,49,1600877465389,74,1600880756043,38,middle_middle,upper_left
2432089,1600837559872,10,1600839074071,5,1600876995448,4,1600879274985,7,middle_right,lower
2433119,1600837618816,20,1600840753955,37,1600877237386,28,1600880079297,26,upper_right,upper_right
2423393,1600837768619,37,1600839942542,32,1600877077728,12,1600880884994,41,upper_right,middle_right
2432098,1600838052752,80,1600841377946,51,1600877544060,88,1600880811733,39,middle_right,middle_middle
2433123,1600837646278,23,1600839300066,17,1600877321041,46,1600879411963,14,upper_left,upper_left
2420328,1600837562923,11,1600839236750,10,1600877087918,15,1600879326135,9,upper_left,middle_middle
2433132,1600837794107,43,1600842867468,74,1600877257156,34,1600879532683,17,upper_right,middle_middle
2432118,1600837595996,18,1600838944168,4,1600877054415,8,1600880067859,25,upper_left,upper_left
2432119,1600837875622,58,1600843183931,83,1600877423189,62,1600883143893,75,upper_right,middle_middle
2432136,1600838044784,77,1600842903840,80,1600877278109,39,1600883175601,79,upper_left,upper_left
2428044,1600837897775,61,1600841419431,52,1600877512903,79,1600882038684,63,upper_left,upper_left
2432152,1600837823136,48,1600841979211,63,1600877532259,83,1600880889944,42,middle_right,lower
2428056,1600837974483,68,1600841457671,54,1600877501419,77,1600881486078,57,upper_right,upper_right
2428068,1600837880915,59,1600842886793,77,1600877396408,54,1600883171577,78,middle_right,upper_right
2427562,1600838053393,82,1600842801093,72,1600877533441,84,1600882128578,66,middle_right,middle_middle
2427565,1600838047975,79,1600840884015,44,1600877465200,73,1600880895848,43,middle_middle,middle_right
2428094,1600837787000,42,1600842237134,65,1600877438048,69,1600883083822,67,middle_right,upper_left
2427599,1600838043050,76,1600841961540,62,1600877434664,67,1600883227894,85,upper_left,upper_left
2427608,1600837658047,25,1600839270865,15,1600877253685,33,1600879316027,8,upper_left,upper_left
2428125,1600837669488,27,1600839285533,16,1600877192956,22,1600881409832,51,middle_right,middle_middle
2427614,1600837759989,35,1600840787391,38,1600877354374,51,1600881413810,52,upper_right,upper_right
2427616,1600837778329,40,1600841355487,50,1600877086742,14,1600883164691,77,upper_right,upper_left
2428176,1600838066531,86,1600842899431,79,1600877525790,81,1600883257242,87,middle_middle,middle_middle
2428179,1600837732413,32,1600842274381,66,1600877313475,45,1600883186694,82,upper_right,upper_right
2428709,1600838046895,78,1600841307561,48,1600877242731,29,1600880149265,30,lower,upper_left
2428711,1600837650513,24,1600839117925,7,1600877226896,25,1600879241950,4,upper_left,upper_left
2428712,1600837842266,52,1600839878769,26,1600877480291,75,1600880106318,27,middle_middle,upper_left
2428714,1600837570498,12,1600839396541,19,1600877293902,42,1600879537845,18,middle_right,upper_right
2428734,1600837949731,64,1600840526447,34,1600877412334,57,1600883135841,74,upper_right,upper_right
2428739,1600837671827,28,1600839335318,18,1600877119336,18,1600879622769,20,middle_middle,upper_right
2428746,1600829993666,1,1600839250674,13,1600877377625,52,1600882008006,61,lower,upper_right
2427728,1600837833495,50,1600841922442,61,1600877227872,26,1600883128945,72,middle_middle,upper_left
2428754,1600837844957,53,1600841865369,59,1600877537129,85,1600883126597,71,middle_middle,lower
2428760,1600838032043,74,1600840788508,39,1600877542563,86,1600883112603,70,middle_right,upper_left
2428773,1600837954343,65,1600840791391,40,1600877487184,76,1600882046654,64,middle_right,upper_left
2428776,1600837729586,31,1600842361919,68,1600877418810,59,1600881923795,60,middle_right,upper_right
2428778,1600837857456,54,1600841856333,58,1600877327388,47,1600882015804,62,middle_right,middle_middle
2428789,1600837864784,55,1600841905138,60,1600877445118,71,1600883177033,80,middle_right,upper_right
2428796,1600837618349,19,1600839268163,14,1600877077921,13,1600878763764,3,lower,upper_left
2428291,1600837508242,6,1600839242458,11,1600877350609,50,1600880390227,36,middle_middle,upper_left
2426247,1600838038725,75,1600839868285,25,1600877410444,56,1600880038423,23,upper_left,upper_right
2428310,1600837640062,22,1600839697353,22,1600877062768,10,1600879620730,19,upper_right,middle_middle
2426262,1600837804898,44,1600839888458,27,1600877435757,68,1600881476226,56,middle_right,upper_left
2428315,1600837967132,66,1600841654736,56,1600877060029,9,1600879268910,6,middle_middle,middle_middle
2428323,1600837763640,36,1600840809679,41,1600877297821,43,1600883087481,68,upper_left,upper_left
2428331,1600837872063,57,1600840852995,43,1600877206136,23,1600881392107,49,upper_left,middle_right
2426290,1600838021123,73,1600842788476,71,1600877246210,30,1600880116543,28,upper_left,upper_left
2428348,1600837695248,30,1600843176462,81,1600877016435,5,1600883190673,83,middle_right,middle_middle
2428863,1600838053020,81,1600841301574,47,1600877259270,35,1600880176606,33,middle_middle,lower
2428864,1600837485552,3,1600841420881,53,1600877034029,6,1600879735116,21,middle_middle,middle_right
