tag_id,EntryMorning,ExitMorning,EntryEvening,ExitEvening,PositionMorning,PositionEvening
2432023,1600490616856,1600492640867,1600531177637.0,1600532866834.0,Middle left,Lower left
2423335,1600490620159,1600493155508,1600531038164.0,1600533251001.0,Lower left,Lower left
2428864,1600490625579,1600494217529,1600531031379.0,1600534167820.0,Middle left,Middle right
2405385,1600490634713,1600493082116,1600531185127.0,1600533507680.0,Middle right,Middle right
2420328,1600490638455,1600493069328,1600531137906.0,1600533258043.0,Middle right,Middle right
2428709,1600490649880,1600493677978,1600531338183.0,1600534206861.0,Middle left,Upper right
2428931,1600490650215,1600493027826,1600531505552.0,1600535740083.0,Upper left,Upper right
2426247,1600490653718,1600493251019,1600531301835.0,1600535138981.0,Upper left,Upper left
2417214,1600490657241,1600494398781,1600531395595.0,1600534930440.0,Lower left,Middle left
2427447,1600490659173,1600494285315,1600531376007.0,1600536731634.0,Upper left,Middle left
2428739,1600490665711,1600492595236,1600531219431.0,1600532803150.0,Lower left,Middle left
2423378,1600490672874,1600494554909,1600531102764.0,1600535770474.0,Middle left,Middle left
2423344,1600490678627,1600493066281,1600531214887.0,1600533329970.0,Middle left,Upper left
2428386,1600490686139,1600493105724,1600531042460.0,1600534503184.0,Upper left,Lower left
2428310,1600490687035,1600494077986,1600531052175.0,1600533758048.0,Middle right,Lower right
2428890,1600490689914,1600494922516,1600531180824.0,1600534484365.0,Upper left,Middle left
2421765,1600490692511,1600497400679,1600531108619.0,1600536912401.0,Middle left,Lower right
2432098,1600490697410,1600492589922,1600531315873.0,1600533225233.0,Middle left,Upper right
2427883,1600490704290,1600493253769,1600531391185.0,1600533347633.0,Middle right,Middle left
2427614,1600490706991,1600495025560,1600531358368.0,1600536769182.0,Upper left,Upper right
2427445,1600490717446,1600495903762,1600531167234.0,1600535706830.0,Middle left,Middle left
2433119,1600490722586,1600493668049,1600531161242.0,1600533979725.0,Upper right,Upper left
2428746,1600490725754,1600497673089,1600531421039.0,1600535857832.0,Middle right,Upper right
2427465,1600490731595,1600492964611,1600531122734.0,1600533343186.0,Middle right,Middle left
2428796,1600490741537,1600493051893,1600531118058.0,1600533247106.0,Middle left,Middle right
2428179,1600490750033,1600497702751,1600531712800.0,1600536685380.0,Middle right,Upper left
2420163,1600490767671,1600493157662,1600531429727.0,1600535175504.0,Upper left,Upper right
2428712,1600490791088,1600492516257,1600531241352.0,1600533844383.0,Middle right,Middle right
2428902,1600490797339,1600494052868,1600531095348.0,1600537858495.0,Middle right,Middle left
2428315,1600490802716,1600493959188,1600531210371.0,1600534468553.0,Middle right,Lower left
2432136,1600490808818,1600493977531,1600531294563.0,1600534545806.0,Middle left,Middle right
2428734,1600490820286,1600493924911,1600531608738.0,1600535670303.0,Middle right,Upper left
2428776,1600490843057,1600497804626,1600531199185.0,1600538068426.0,Upper right,Upper left
2428754,1600490847634,1600495051152,1600531270257.0,1600537852701.0,Upper right,Middle left
2427905,1600490851609,1600493115212,1600531034902.0,1600533020405.0,Upper left,Middle left
2427608,1600490851614,1600493650391,1600531203672.0,1600533262993.0,Upper left,Upper right
2433123,1600490855550,1600494249201,1600531333456.0,1600533543778.0,Upper left,Upper left
2432061,1600490856126,1600497692267,1600531594580.0,1600536326270.0,Upper right,Upper left
2428711,1600490867496,1600492613912,1600531385632.0,1600533847974.0,Upper right,Upper right
2423393,1600490872543,1600494268805,1600531172230.0,1600536543429.0,Upper right,Upper left
2428323,1600490873970,1600494236664,1600531572559.0,1600536341748.0,Upper left,Upper left
2428044,1600490879447,1600497301921,1600531719300.0,1600534857436.0,Upper right,Upper right
2417171,1600490880679,1600497698477,1600531453251.0,1600534257973.0,Upper right,Middle left
2432118,1600490882750,1600494241759,1600531280559.0,1600533634767.0,Upper left,Upper right
2426290,1600490887202,1600495924215,1600531143971.0,1600535777214.0,Middle left,Middle left
2428721,1600490897269,1600495913794,,,Middle right,
2423375,1600490899930,1600493346636,1600531197717.0,1600532833427.0,Upper left,Middle left
2432048,1600490905174,1600495987288,1600531053070.0,1600533318464.0,Upper left,Middle right
2428068,1600490912617,1600495942073,1600531514421.0,1600537885387.0,Upper left,Middle right
2428789,1600490918556,1600496091580,1600531635145.0,1600537046376.0,Middle right,Upper right
2417175,1600490926784,1600493619739,1600531190169.0,1600533129157.0,Upper right,Middle right
2421792,1600490931718,1600493375056,1600531250024.0,1600534847914.0,Middle left,Upper left
2427599,1600490938812,1600497314928,1600531615767.0,1600534303830.0,Upper left,Upper left
2417204,1600490954611,1600493145773,1600531399281.0,1600534349929.0,Middle left,Upper right
2427616,1600490966293,1600497259054,1600531404817.0,1600536722670.0,Upper right,Upper right
2428867,1600490970144,1600493128184,,,Upper left,
2428714,1600490997207,1600496488628,1600531480592.0,1600534320601.0,Middle left,Upper left
2433107,1600490997232,1600497697791,1600531589240.0,1600537864790.0,Middle left,Upper left
2427898,1600491004141,1600493664896,1600531428862.0,1600533868672.0,Upper left,Middle right
2428390,1600491009740,1600497363203,1600531366797.0,1600536845297.0,Upper right,Middle right
2428778,1600491018928,1600495895389,1600531408807.0,1600535683856.0,Upper right,Middle right
2427458,1600491032864,1600493655836,1600531352945.0,1600533915067.0,Middle left,Middle right
2427728,1600491050244,1600497293459,1600531292283.0,1600534478509.0,Middle left,Middle right
2427565,1600491069963,1600494277901,1600531335799.0,1600536799814.0,Upper left,Middle left
2428291,1600491080940,1600495007979,1600531680011.0,1600535165726.0,Upper left,Upper right
2423356,1600491098690,1600497685312,1600531687631.0,1600536652412.0,Upper left,Upper left
2426262,1600491105399,1600496496034,1600531326257.0,1600533871360.0,Upper right,Middle right
2432119,1600491110788,1600497682186,1600531714247.0,1600536709125.0,Middle left,Lower left
2421773,1600491111424,1600495058756,1600531737877.0,1600535148368.0,Upper right,Upper right
2428331,1600491119706,1600495036252,1600531708945.0,1600537892169.0,Upper left,Upper left
2428773,1600491122504,1600494293112,1600531655425.0,1600535955889.0,Upper left,Middle left
2431954,1600491130034,1600494456311,1600531415936.0,1600535731090.0,Upper right,Middle right
2417169,1600491131195,1600495058604,1600531643479.0,1600534170854.0,Upper left,Upper left
2428056,1600491138402,1600495151289,1600531692311.0,1600537873080.0,Upper right,Upper right
2428898,1600491142110,1600495875964,1600531274667.0,1600535161786.0,Upper left,Middle right
2428863,1600491145543,1600495006478,1600531487707.0,1600534969353.0,Middle right,Middle left
2433132,1600491151370,1600495887141,1600531132122.0,1600535365983.0,Upper right,Lower left
2428094,1600491159924,1600495040754,1600531625682.0,1600537580854.0,Middle right,Upper left
2428760,1600491160588,1600494130660,1600531635757.0,1600535268536.0,Upper right,Upper left
2428125,1600491174135,1600497256608,1600531344345.0,1600535156921.0,Middle right,Upper right
2428877,1600491293649,1600495935856,1600531681660.0,1600535801168.0,Upper left,Upper left
2428894,1600491296468,1600497283268,1600531712824.0,1600537891239.0,Upper right,Upper left
2423355,1600491300407,1600495918953,1600531683711.0,1600534495250.0,Middle right,Upper left
2423364,1600491300457,1600497669393,1600531598397.0,1600536878509.0,Upper right,Middle right
2423380,1600491303798,1600494265829,1600531723192.0,1600535209433.0,Upper right,Middle left
2427562,1600491304239,1600497276489,1600531707821.0,1600534525209.0,Middle right,Middle left
2428176,1600491309258,1600497696359,1600531701974.0,1600536959771.0,Middle right,Middle left
2428348,1600491310645,1600495119721,1600531040079.0,1600537952330.0,Middle left,Middle left
2432152,1600491317980,1600495047323,1600531703616.0,1600536288011.0,Upper right,Upper left
2427878,1600491319883,1600495892154,1600531157017.0,1600532879849.0,Upper right,Lower left
2428398,1600491321789,1600497801598,1600531674485.0,1600536963665.0,Lower right,Upper left
